orig_cwe,trans_cwe,orig_category,trans_category,count
CWE-347,CWE-696,Data Integrity Issues,Other,2
CWE-798,CWE-330,Credentials Management Errors,Other,2
CWE-323,CWE-798,Key Management Errors,Credentials Management Errors,2
CWE-628,CWE-326,Bad Coding Practices,Other,2
CWE-329,CWE-20,Cryptographic Issues,Data Validation Issues,2
CWE-665,CWE-532,Other,Information Management Errors,2
CWE-338,CWE-617,Random Number Issues,"Error Conditions, Return Values, Status Codes",2
CWE-327,CWE-325,Cryptographic Issues,Cryptographic Issues,2
CWE-532,CWE-208,Information Management Errors,Information Management Errors,2
CWE-670,CWE-316,Other,Other,2
CWE-20,CWE-770,Data Validation Issues,Resource Management Errors,2
CWE-134,CWE-120,String Errors,Memory Buffer Errors,2
CWE-120,CWE-682,Memory Buffer Errors,Other,2
CWE-562,CWE-787,Bad Coding Practices,Memory Buffer Errors,2
CWE-125,CWE-191,Memory Buffer Errors,Numeric Errors,2
CWE-327,CWE-787,Cryptographic Issues,Memory Buffer Errors,2
CWE-329,CWE-347,Cryptographic Issues,Data Integrity Issues,2
CWE-628,CWE-916,Bad Coding Practices,Credentials Management Errors,2
CWE-20,CWE-532,Data Validation Issues,Information Management Errors,2
CWE-338,CWE-316,Random Number Issues,Other,2
CWE-20,CWE-116,Data Validation Issues,Other,2
CWE-20,CWE-200,Data Validation Issues,Other,2
CWE-347,CWE-329,Data Integrity Issues,Cryptographic Issues,2
CWE-20,CWE-125,Data Validation Issues,Memory Buffer Errors,2
CWE-327,CWE-119,Cryptographic Issues,Other,2
CWE-20,CWE-329,Data Validation Issues,Cryptographic Issues,2
CWE-329,CWE-330,Cryptographic Issues,Other,2
CWE-327,CWE-696,Cryptographic Issues,Other,2
CWE-209,CWE-327,Information Management Errors,Cryptographic Issues,2
CWE-347,CWE-330,Data Integrity Issues,Other,2
CWE-670,CWE-476,Other,Pointer Issues,2
CWE-338,CWE-325,Random Number Issues,Cryptographic Issues,2
CWE-338,CWE-200,Random Number Issues,Other,2
CWE-22,CWE-125,File Handling Issues,Memory Buffer Errors,2
CWE-562,CWE-248,Bad Coding Practices,"Error Conditions, Return Values, Status Codes",2
CWE-787,CWE-131,Memory Buffer Errors,Memory Buffer Errors,2
CWE-327,CWE-416,Cryptographic Issues,Other,2
CWE-20,CWE-119,Data Validation Issues,Other,2
CWE-754,CWE-532,Other,Information Management Errors,2
CWE-347,CWE-209,Data Integrity Issues,Information Management Errors,2
CWE-628,CWE-400,Bad Coding Practices,Other,2
CWE-327,CWE-323,Cryptographic Issues,Key Management Errors,2
CWE-338,CWE-787,Random Number Issues,Memory Buffer Errors,2
CWE-532,CWE-347,Information Management Errors,Data Integrity Issues,2
CWE-338,CWE-129,Random Number Issues,Other,2
CWE-134,CWE-190,String Errors,Numeric Errors,2
CWE-120,CWE-762,Memory Buffer Errors,Other,2
CWE-122,CWE-190,Other,Numeric Errors,2
CWE-754,CWE-613,Other,User Session Errors,2
CWE-665,CWE-613,Other,User Session Errors,2
CWE-22,CWE-863,File Handling Issues,Other,2
CWE-20,CWE-732,Data Validation Issues,Other,2
CWE-20,CWE-400,Data Validation Issues,Other,2
CWE-125,CWE-190,Memory Buffer Errors,Numeric Errors,2
CWE-787,CWE-193,Memory Buffer Errors,Numeric Errors,2
CWE-787,CWE-129,Memory Buffer Errors,Other,2
CWE-120,CWE-807,Memory Buffer Errors,Bad Coding Practices,2
CWE-209,CWE-120,Information Management Errors,Memory Buffer Errors,2
CWE-354,CWE-20,Data Integrity Issues,Data Validation Issues,2
CWE-347,CWE-345,Data Integrity Issues,Other,2
CWE-89,CWE-306,Data Neutralization Issues,Authentication Errors,2
CWE-125,CWE-125,Memory Buffer Errors,Memory Buffer Errors,2
CWE-754,CWE-208,Other,Information Management Errors,1
CWE-347,CWE-129,Data Integrity Issues,Other,1
CWE-209,CWE-125,Information Management Errors,Memory Buffer Errors,1
CWE-665,CWE-191,Other,Numeric Errors,1
CWE-209,CWE-476,Information Management Errors,Pointer Issues,1
CWE-20,CWE-665,Data Validation Issues,Other,1
CWE-628,CWE-203,Bad Coding Practices,Other,1
CWE-209,CWE-252,Information Management Errors,"Error Conditions, Return Values, Status Codes",1
CWE-20,CWE-696,Data Validation Issues,Other,1
CWE-329,CWE-209,Cryptographic Issues,Information Management Errors,1
CWE-20,CWE-321,Data Validation Issues,Other,1
CWE-209,CWE-353,Information Management Errors,Data Integrity Issues,1
CWE-20,CWE-838,Data Validation Issues,Data Neutralization Issues,1
CWE-347,CWE-326,Data Integrity Issues,Other,1
CWE-798,CWE-521,Credentials Management Errors,Credentials Management Errors,1
CWE-670,CWE-697,Other,Other,1
CWE-22,CWE-401,File Handling Issues,Other,1
CWE-1333,CWE-22,Complexity Issues,File Handling Issues,1
CWE-79,CWE-20,Data Neutralization Issues,Data Validation Issues,1
CWE-89,CWE-117,Data Neutralization Issues,Audit / Logging Errors,1
CWE-20,CWE-362,Data Validation Issues,Other,1
CWE-190,CWE-125,Numeric Errors,Memory Buffer Errors,1
CWE-120,CWE-200,Memory Buffer Errors,Other,1
CWE-122,CWE-20,Other,Data Validation Issues,1
CWE-134,CWE-704,String Errors,Other,1
CWE-121,CWE-190,Other,Numeric Errors,1
CWE-122,CWE-120,Other,Memory Buffer Errors,1
CWE-754,CWE-316,Other,Other,1
CWE-327,CWE-170,Cryptographic Issues,Data Neutralization Issues,1
CWE-354,CWE-401,Data Integrity Issues,Other,1
CWE-20,CWE-347,Data Validation Issues,Data Integrity Issues,1
CWE-329,CWE-170,Cryptographic Issues,Data Neutralization Issues,1
CWE-798,CWE-125,Credentials Management Errors,Memory Buffer Errors,1
CWE-345,CWE-1104,Other,Bad Coding Practices,1
CWE-345,CWE-532,Other,Information Management Errors,1
CWE-628,CWE-521,Bad Coding Practices,Credentials Management Errors,1
CWE-329,CWE-798,Cryptographic Issues,Credentials Management Errors,1
CWE-670,CWE-798,Other,Credentials Management Errors,1
CWE-338,CWE-119,Random Number Issues,Other,1
CWE-338,CWE-670,Random Number Issues,Other,1
CWE-670,CWE-330,Other,Other,1
CWE-22,CWE-758,File Handling Issues,Other,1
CWE-22,CWE-78,File Handling Issues,Data Neutralization Issues,1
CWE-89,CWE-416,Data Neutralization Issues,Other,1
CWE-20,CWE-650,Data Validation Issues,Other,1
CWE-327,CWE-124,Cryptographic Issues,Memory Buffer Errors,1
CWE-754,CWE-226,Other,Other,1
CWE-354,CWE-129,Data Integrity Issues,Other,1
CWE-329,CWE-120,Cryptographic Issues,Memory Buffer Errors,1
CWE-327,CWE-457,Cryptographic Issues,Other,1
CWE-665,CWE-120,Other,Memory Buffer Errors,1
CWE-628,CWE-129,Bad Coding Practices,Other,1
CWE-209,CWE-798,Information Management Errors,Credentials Management Errors,1
CWE-354,CWE-696,Data Integrity Issues,Other,1
CWE-665,CWE-294,Other,Authentication Errors,1
CWE-798,CWE-704,Credentials Management Errors,Other,1
CWE-345,CWE-323,Other,Key Management Errors,1
CWE-20,CWE-353,Data Validation Issues,Data Integrity Issues,1
CWE-754,CWE-327,Other,Cryptographic Issues,1
CWE-628,CWE-323,Bad Coding Practices,Key Management Errors,1
CWE-20,CWE-330,Data Validation Issues,Other,1
CWE-665,CWE-338,Other,Random Number Issues,1
CWE-798,CWE-323,Credentials Management Errors,Key Management Errors,1
CWE-347,CWE-323,Data Integrity Issues,Key Management Errors,1
CWE-20,CWE-704,Data Validation Issues,Other,1
CWE-532,CWE-416,Information Management Errors,Other,1
CWE-327,CWE-200,Cryptographic Issues,Other,1
CWE-338,CWE-707,Random Number Issues,Other,1
CWE-670,CWE-532,Other,Information Management Errors,1
CWE-670,CWE-838,Other,Data Neutralization Issues,1
CWE-338,CWE-321,Random Number Issues,Other,1
CWE-404,CWE-404,Other,Other,1
CWE-562,CWE-119,Bad Coding Practices,Other,1
CWE-190,CWE-400,Numeric Errors,Other,1
CWE-787,CWE-415,Memory Buffer Errors,Other,1
CWE-120,CWE-415,Memory Buffer Errors,Other,1
CWE-754,CWE-908,Other,Resource Management Errors,1
CWE-345,CWE-329,Other,Cryptographic Issues,1
CWE-354,CWE-798,Data Integrity Issues,Credentials Management Errors,1
CWE-329,CWE-129,Cryptographic Issues,Other,1
CWE-665,CWE-326,Other,Other,1
CWE-209,CWE-121,Information Management Errors,Other,1
CWE-347,CWE-704,Data Integrity Issues,Other,1
CWE-20,CWE-345,Data Validation Issues,Other,1
CWE-209,CWE-345,Information Management Errors,Other,1
CWE-665,CWE-353,Other,Data Integrity Issues,1
CWE-798,CWE-345,Credentials Management Errors,Other,1
CWE-327,CWE-353,Cryptographic Issues,Data Integrity Issues,1
CWE-754,CWE-522,Other,Other,1
CWE-209,CWE-312,Information Management Errors,Information Management Errors,1
CWE-209,CWE-502,Information Management Errors,Resource Management Errors,1
CWE-20,CWE-312,Data Validation Issues,Information Management Errors,1
CWE-323,CWE-20,Key Management Errors,Data Validation Issues,1
CWE-345,CWE-321,Other,Other,1
CWE-798,CWE-326,Credentials Management Errors,Other,1
CWE-665,CWE-330,Other,Other,1
CWE-347,CWE-321,Data Integrity Issues,Other,1
CWE-209,CWE-330,Information Management Errors,Other,1
CWE-338,CWE-477,Random Number Issues,API / Function Errors,1
CWE-327,CWE-676,Cryptographic Issues,API / Function Errors,1
CWE-532,CWE-200,Information Management Errors,Other,1
CWE-670,CWE-676,Other,API / Function Errors,1
CWE-367,CWE-59,Concurrency Issues,File Handling Issues,1
CWE-22,CWE-670,File Handling Issues,Other,1
CWE-22,CWE-248,File Handling Issues,"Error Conditions, Return Values, Status Codes",1
CWE-22,CWE-209,File Handling Issues,Information Management Errors,1
CWE-79,CWE-120,Data Neutralization Issues,Memory Buffer Errors,1
CWE-89,CWE-319,Data Neutralization Issues,Information Management Errors,1
CWE-121,CWE-129,Other,Other,1
CWE-120,CWE-476,Memory Buffer Errors,Pointer Issues,1
CWE-120,CWE-125,Memory Buffer Errors,Memory Buffer Errors,1
CWE-122,CWE-762,Other,Other,1
CWE-345,CWE-252,Other,"Error Conditions, Return Values, Status Codes",1
CWE-20,CWE-208,Data Validation Issues,Information Management Errors,1
CWE-20,CWE-316,Data Validation Issues,Other,1
CWE-345,CWE-200,Other,Other,1
CWE-628,CWE-670,Bad Coding Practices,Other,1
CWE-354,CWE-345,Data Integrity Issues,Other,1
CWE-209,CWE-316,Information Management Errors,Other,1
CWE-20,CWE-324,Data Validation Issues,Credentials Management Errors,1
CWE-338,CWE-120,Random Number Issues,Memory Buffer Errors,1
CWE-670,CWE-20,Other,Data Validation Issues,1
CWE-532,CWE-704,Information Management Errors,Other,1
CWE-670,CWE-120,Other,Memory Buffer Errors,1
CWE-89,CWE-120,Data Neutralization Issues,Memory Buffer Errors,1
CWE-89,CWE-22,Data Neutralization Issues,File Handling Issues,1
CWE-190,CWE-476,Numeric Errors,Pointer Issues,1
CWE-120,CWE-193,Memory Buffer Errors,Numeric Errors,1
CWE-190,CWE-770,Numeric Errors,Resource Management Errors,1
CWE-754,CWE-190,Other,Numeric Errors,1
CWE-665,CWE-208,Other,Information Management Errors,1
CWE-20,CWE-190,Data Validation Issues,Numeric Errors,1
CWE-754,CWE-252,Other,"Error Conditions, Return Values, Status Codes",1
CWE-628,CWE-347,Bad Coding Practices,Data Integrity Issues,1
CWE-345,CWE-326,Other,Other,1
CWE-327,CWE-326,Cryptographic Issues,Other,1
CWE-20,CWE-326,Data Validation Issues,Other,1
CWE-209,CWE-324,Information Management Errors,Credentials Management Errors,1
CWE-665,CWE-248,Other,"Error Conditions, Return Values, Status Codes",1
CWE-670,CWE-320,Other,Other,1
CWE-338,CWE-248,Random Number Issues,"Error Conditions, Return Values, Status Codes",1
CWE-338,CWE-287,Random Number Issues,Other,1
CWE-327,CWE-316,Cryptographic Issues,Other,1
CWE-22,CWE-285,File Handling Issues,Other,1
CWE-562,CWE-400,Bad Coding Practices,Other,1
CWE-125,CWE-124,Memory Buffer Errors,Memory Buffer Errors,1
CWE-120,CWE-407,Memory Buffer Errors,Other,1
CWE-190,CWE-787,Numeric Errors,Memory Buffer Errors,1
CWE-562,CWE-682,Bad Coding Practices,Other,1
CWE-754,CWE-120,Other,Memory Buffer Errors,1
CWE-628,CWE-696,Bad Coding Practices,Other,1
CWE-354,CWE-330,Data Integrity Issues,Other,1
CWE-665,CWE-252,Other,"Error Conditions, Return Values, Status Codes",1
CWE-347,CWE-401,Data Integrity Issues,Other,1
CWE-209,CWE-416,Information Management Errors,Other,1
CWE-209,CWE-696,Information Management Errors,Other,1
CWE-665,CWE-200,Other,Other,1
CWE-209,CWE-209,Information Management Errors,Information Management Errors,1
CWE-20,CWE-209,Data Validation Issues,Information Management Errors,1
CWE-327,CWE-191,Cryptographic Issues,Numeric Errors,1
CWE-670,CWE-704,Other,Other,1
CWE-338,CWE-754,Random Number Issues,Other,1
CWE-338,CWE-125,Random Number Issues,Memory Buffer Errors,1
CWE-22,CWE-835,File Handling Issues,Behavioral Problems,1
CWE-22,CWE-416,File Handling Issues,Other,1
CWE-22,CWE-120,File Handling Issues,Memory Buffer Errors,1
CWE-79,CWE-476,Data Neutralization Issues,Pointer Issues,1
CWE-20,CWE-598,Data Validation Issues,Other,1
CWE-562,CWE-209,Bad Coding Practices,Information Management Errors,1
CWE-562,CWE-681,Bad Coding Practices,Type Errors,1
CWE-122,CWE-476,Other,Pointer Issues,1
CWE-120,CWE-824,Memory Buffer Errors,Pointer Issues,1
CWE-562,CWE-908,Bad Coding Practices,Resource Management Errors,1
CWE-120,CWE-170,Memory Buffer Errors,Data Neutralization Issues,1
